MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
172,ITAIPAVA DO GRAJAÚ,MA,1/1/1997,
173,CAMPOS LINDOS,TO,4/1/1993,
174,ITINGA DO MARANHÃO,MA,1/1/1997,
175,CARMOLÂNDIA,TO,4/1/1993,
176,JATOBÁ,MA,1/1/1997,
177,CARRASCO BONITO,TO,4/1/1993,
178,JENIPAPO DOS VIEIRAS,MA,1/1/1997,
179,DARCINÓPOLIS,TO,4/1/1993,
180,JUNCO DO MARANHÃO,MA,1/1/1997,
181,ESPERANTINA,TO,4/1/1993,
182,LAGOA DO MATO,MA,1/1/1997,
183,MAURILÂNDIA DO TOCANTINS,TO,4/1/1993,
184,LAGO DOS RODRIGUES,MA,1/1/1997,
185,PALMEIRAS DO TOCANTINS,TO,4/1/1993,
186,LAGOA GRANDE DO MARANHÃO,MA,1/1/1997,
187,MURICILÂNDIA,TO,1/1/1989,
188,LAJEADO NOVO,MA,1/1/1997,
189,PALMEIRANTE,TO,1/1/1989,
190,MARACAÇUMÉ,MA,1/1/1997,
191,PAU D'ARCO,TO,4/1/1993,
192,MARAJÁ DO SENA,MA,1/1/1997,
193,RIACHINHO,TO,4/1/1993,
194,MARANHÃOZINHO,MA,1/1/1997,
195,SANTA FÉ DO ARAGUAIA,TO,4/1/1993,
196,MATÕES DO NORTE,MA,1/1/1997,
197,SÃO BENTO DO TOCANTINS,TO,1/1/1989,
198,MILAGRES DO MARANHÃO,MA,1/1/1997,
199,SÃO MIGUEL DO TOCANTINS,TO,4/1/1993,
200,NOVA COLINAS,MA,1/1/1997,
201,NOVO AIRÃO,AM,1/1/1980,
202,NOVA OLINDA DO MARANHÃO,MA,1/1/1997,
203,ANORI,AM,1/1/1980,
204,OLINDA NOVA DO MARANHÃO,MA,1/1/1997,
205,ATALAIA DO NORTE,AM,1/1/1980,
206,PAULINO NEVES,MA,1/1/1997,
207,AUTAZES,AM,1/1/1980,
208,PEDRO DO ROSÁRIO,MA,1/1/1997,
209,BARCELOS,AM,1/1/1980,
210,PERITORÓ,MA,1/1/1997,
211,BARREIRINHA,AM,1/1/1980,
