ibge_code,name,uf,tom_code,created_at,extinguished_at
3155900,Rio Preto,MG,5117,1980-01-01,
3156007,Rio Vermelho,MG,5119,1980-01-01,
3156106,Ritápolis,MG,5121,1980-01-01,
3156205,Rochedo de Minas,MG,5123,1980-01-01,
3156304,Rodeiro,MG,5125,1980-01-01,
3156403,Romaria,MG,5127,1980-01-01,
3156502,Rubelita,MG,5129,1980-01-01,
3156601,Rubim,MG,5131,1980-01-01,
3156700,Sabará,MG,5133,1980-01-01,
3156809,Sabinópolis,MG,5135,1980-01-01,
3156908,Sacramento,MG,5137,1980-01-01,
3157005,Salinas,MG,5139,1980-01-01,
3157104,Salto da Divisa,MG,5141,1980-01-01,
3157203,Santa Bárbara,MG,5143,1980-01-01,
3157302,Santa Bárbara do Tugúrio,MG,5145,1980-01-01,
3157401,Santa Cruz do Escalvado,MG,5147,1980-01-01,
3157500,Santa Efigênia de Minas,MG,5149,1980-01-01,
3157609,Santa Fé de Minas,MG,5151,1980-01-01,
3157708,Santa Juliana,MG,5153,1980-01-01,
3157807,Santa Luzia,MG,5155,1980-01-01,
3157906,Santa Margarida,MG,5157,1980-01-01,
3158003,Santa Maria de Itabira,MG,5159,1980-01-01,
3158102,Santa Maria do Salto,MG,5161,1980-01-01,
3158201,Santa Maria do Suaçuí,MG,5163,1980-01-01,
3158300,Santana da Vargem,MG,5165,1980-01-01,
3158409,Santana de Cataguases,MG,5167,1980-01-01,
3158508,Santana de Pirapama,MG,5169,1980-01-01,
3158607,Santana do Deserto,MG,5171,1980-01-01,
3158706,Santana do Garambéu,MG,5173,1980-01-01,
3158805,Santana do Jacaré,MG,5175,1980-01-01,
3158904,Santana do Manhuaçu,MG,5177,1980-01-01,
3159001,Santana do Riacho,MG,5179,1980-01-01,
3159100,Santana dos Montes,MG,5181,1980-01-01,
3159209,Santa Rita de Caldas,MG,5183,1980-01-01,
3159308,Santa Rita de Jacutinga,MG,5185,1980-01-01,
3159407,Santa Rita de Ibitipoca,MG,5187,1980-01-01,
3159506,Santa Rita do Itueto,MG,5189,1980-01-01,
3159605,Santa Rita do Sapucaí,MG,5191,1980-01-01,
3159704,Santa Rosa da Serra,MG,5193,1980-01-01,
3159803,Santa Vitória,MG,5195,1980-01-01,
3159902,Santo Antônio do Amparo,MG,5197,1980-01-01,
3160009,Santo Antônio do Aventureiro,MG,5199,1980-01-01,
3160108,Santo Antônio do Grama,MG,5201,1980-01-01,
3160207,Santo Antônio do Itambé,MG,5203,1980-01-01,
3160306,Santo Antônio do Jacinto,MG,5205,1980-01-01,
3160405,Santo Antônio do Monte,MG,5207,1980-01-01,
3160504,Santo Antônio do Rio Abaixo,MG,5209,1980-01-01,
3160603,Santo Hipólito,MG,5211,1980-01-01,
3160702,Santos Dumont,MG,5213,1980-01-01,
3160801,São Bento Abade,MG,5215,1980-01-01,
3160900,São Brás do Suaçuí,MG,5217,1980-01-01,
3161007,São Domingos do Prata,MG,5219,1980-01-01,
3161106,São Francisco,MG,5221,1980-01-01,
3161205,São Francisco de Paula,MG,5223,1980-01-01,
3161304,São Francisco de Sales,MG,5225,1980-01-01,
3161403,São Francisco do Glória,MG,5227,1980-01-01,
3161502,São Geraldo,MG,5229,1980-01-01,
3161601,São Geraldo da Piedade,MG,5231,1980-01-01,
3161700,São Gonçalo do Abaeté,MG,5233,1980-01-01,
3161809,São Gonçalo do Pará,MG,5235,1980-01-01,
3161908,São Gonçalo do Rio Abaixo,MG,5237,1980-01-01,
3162005,São Gonçalo do Sapucaí,MG,5239,1980-01-01,
3162104,São Gotardo,MG,5241,1980-01-01,
3162203,São João Batista do Glória,MG,5243,1980-01-01,
3162302,São João da Mata,MG,5245,1980-01-01,
3162401,São João da Ponte,MG,5247,1980-01-01,
3162500,São João del Rei,MG,5249,1980-01-01,
3162609,São João do Oriente,MG,5251,1980-01-01,
3162708,São João do Paraíso,MG,5253,1980-01-01,
3162807,São João Evangelista,MG,5255,1980-01-01,
3162906,São João Nepomuceno,MG,5257,1980-01-01,
3163003,São José da Safira,MG,5259,1980-01-01,
3163102,São José da Varginha,MG,5261,1980-01-01,
3163201,São José do Alegre,MG,5263,1980-01-01,
3163300,São José do Divino,MG,5265,1980-01-01,
3163409,São José do Goiabal,MG,5267,1980-01-01,
3163508,São José do Jacuri,MG,5269,1980-01-01,
3163607,São José do Mantimento,MG,5271,1980-01-01,
3163706,São Lourenço,MG,5273,1980-01-01,
3163805,São Miguel do Anta,MG,5275,1980-01-01,
3163904,São Pedro da União,MG,5277,1980-01-01,
3164001,São Pedro dos Ferros,MG,5279,1980-01-01,
3164100,São Pedro do Suaçuí,MG,5281,1980-01-01,
3164209,São Romão,MG,5283,1980-01-01,
3164308,São Roque de Minas,MG,5285,1980-01-01,
3164407,São Sebastião da Bela Vista,MG,5287,1980-01-01,
3164506,São Sebastião do Maranhão,MG,5289,1980-01-01,
3164605,São Sebastião do Oeste,MG,5291,1980-01-01,
3164704,São Sebastião do Paraíso,MG,5293,1980-01-01,
3164803,São Sebastião do Rio Preto,MG,5295,1980-01-01,
3164902,São Sebastião do Rio Verde,MG,5297,1980-01-01,
3165008,São Tiago,MG,5299,1980-01-01,
3165107,São Tomás de Aquino,MG,5301,1980-01-01,
3165206,São Tomé das Letras,MG,5303,1980-01-01,
3165305,São Vicente de Minas,MG,5305,1980-01-01,
3165404,Sapucaí-Mirim,MG,5307,1980-01-01,
3165503,Sardoá,MG,5309,1980-01-01,
3165602,Senador Cortes,MG,5311,1980-01-01,
3165701,Senador Firmino,MG,5313,1980-01-01,
3165800,Senador José Bento,MG,5315,1980-01-01,
3165909,Senador Modestino Gonçalves,MG,5317,1980-01-01,
3166006,Senhora de Oliveira,MG,5319,1980-01-01,
3166105,Senhora do Porto,MG,5321,1980-01-01,
3166204,Senhora dos Remédios,MG,5323,1980-01-01,
3166303,Sericita,MG,5325,1980-01-01,
3166402,Seritinga,MG,5327,1980-01-01,
3166501,Serra Azul de Minas,MG,5329,1980-01-01,
3166600,Serra da Saudade,MG,5331,1980-01-01,
3166709,Serra dos Aimorés,MG,5333,1980-01-01,
3166808,Serra do Salitre,MG,5335,1980-01-01,
3166907,Serrania,MG,5337,1980-01-01,
3167004,Serranos,MG,5339,1980-01-01,
3167103,Serro,MG,5341,1980-01-01,
3167202,Sete Lagoas,MG,5343,1980-01-01,
3167301,Silveirânia,MG,5345,1980-01-01,
3167400,Silvianópolis,MG,5347,1980-01-01,
3167509,Simão Pereira,MG,5349,1980-01-01,
3167608,Simonésia,MG,5351,1980-01-01,
3167707,Sobrália,MG,5353,1980-01-01,
3167806,Soledade de Minas,MG,5355,1980-01-01,
3167905,Tabuleiro,MG,5357,1980-01-01,
3168002,Taiobeiras,MG,5359,1980-01-01,
3168101,Tapira,MG,5361,1980-01-01,
3168200,Tapiraí,MG,5363,1980-01-01,
3168309,Taquaraçu de Minas,MG,5365,1980-01-01,
3168408,Tarumirim,MG,5367,1980-01-01,
3168507,Teixeiras,MG,5369,1980-01-01,
3168606,Teófilo Otoni,MG,5371,1980-01-01,
3168705,Timóteo,MG,5373,1980-01-01,
3168804,Tiradentes,MG,5375,1980-01-01,
3168903,Tiros,MG,5377,1980-01-01,
